outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_vax_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,12 - DEC,202148,all_ages,Moderna,36,8181554,366,27966399,2877,38265736.95,0.440014208,1.30871336,7.51847535,17.08689224,5.744936653,0.149469411,0.954580508,10.92110449,73.06581611,11.44073695,0
death,12 - DEC,202148,all_ages,Pfizer,56,11292473,389,37568889,2877,38265736.95,0.495905547,1.035431205,7.51847535,15.16110355,7.261202207,0.19834864,1.111394699,10.92110449,55.06014296,9.826486033,0
death,12 - DEC,202148,all_ages,all_types,95,20481903,849,72490381,2877,38265736.95,0.463824089,1.171189871,7.51847535,16.20975609,6.419518759,0.175840449,1.069773261,10.92110449,62.10803346,10.20880301,0
death,12 - DEC,202149,all_ages,Janssen,3,1181513,87,6647888,2855,37413258.95,0.253911722,1.308686308,7.630984523,30.05369139,5.831026487,0.194031309,1.587290874,11.25739194,58.01842999,7.092204795,0
death,12 - DEC,202149,all_ages,Moderna,37,9668614,329,26730709,2855,37413258.95,0.38268153,1.23079414,7.630984523,19.94082265,6.200049443,0.178978346,0.91690203,11.25739194,62.89806666,12.27763881,0
death,12 - DEC,202149,all_ages,Pfizer,69,12704380,323,36495338,2855,37413258.95,0.543119774,0.88504455,7.630984523,14.0502793,8.622147351,0.211872565,0.97398939,11.25739194,53.13284398,11.55802318,0
death,12 - DEC,202149,all_ages,all_types,109,23579867,740,70059615,2855,37413258.95,0.462258757,1.056243315,7.630984523,16.50803671,7.224646456,0.190402536,0.983671979,11.25739194,59.12417016,11.44425397,0
death,12 - DEC,202150,all_ages,Janssen,4,1373120,63,6535080,2260,36412776.95,0.291307388,0.964027984,6.206612594,21.30605971,6.43820791,0.204255835,1.158404462,9.253565242,45.30379886,7.988198893,1
death,12 - DEC,202150,all_ages,Moderna,41,11133331,245,25615686,2260,36412776.95,0.36826355,0.956445203,6.206612594,16.85372498,6.489250585,0.132225915,0.724026465,9.253565242,69.98299276,12.78070027,1
death,12 - DEC,202150,all_ages,Pfizer,81,14138179,269,35480522,2260,36412776.95,0.572916781,0.758162464,6.206612594,10.83335801,8.18638865,0.27081539,0.82043929,9.253565242,34.16927387,11.2787934,1
death,12 - DEC,202150,all_ages,all_types,126,26671876,577,67827569,2260,36412776.95,0.472407715,0.85068654,6.206612594,13.13825409,7.296004228,0.20904447,0.796632687,9.253565242,44.26601311,11.6158493,1
death,12 - DEC,202151,all_ages,Janssen,2,1604309,82,6386150,2119,35405781.95,0.124664264,1.284028718,5.984898181,48.00813008,4.661031405,0.111387027,1.626100698,9.269647023,83.22016717,5.700536893,1
death,12 - DEC,202151,all_ages,Moderna,58,12831630,245,24259185,2119,35405781.95,0.452008046,1.009926756,5.984898181,13.24068949,5.926071518,0.168726402,0.779299908,9.269647023,54.93892417,11.89483911,1
death,12 - DEC,202151,all_ages,Pfizer,87,15952787,266,34125422,2119,35405781.95,0.545359253,0.77947754,5.984898181,10.97423056,7.678089326,0.268979404,0.864518102,9.269647023,34.462293,10.72232843,1
death,12 - DEC,202151,all_ages,all_types,147,30418444,596,64976401,2119,35405781.95,0.483259433,0.917256097,5.984898181,12.38444151,6.524784298,0.218177972,0.881229657,9.269647023,42.48663126,10.51899122,1
death,12 - DEC,202152,all_ages,Janssen,7,1809998,136,6251535,2628,34554366.95,0.386740759,2.175465706,7.605406297,19.66538598,3.495989975,0.38200341,2.768633574,12.058548,31.56659775,4.355414927,1
death,12 - DEC,202152,all_ages,Moderna,131,14252789,445,23138273,2628,34554366.95,0.919118356,1.923220458,7.605406297,8.274675665,3.954516116,0.393335058,1.512093638,12.058548,30.65719098,7.974736283,1
death,12 - DEC,202152,all_ages,Pfizer,187,17619280,596,32867914,2628,34554366.95,1.061337353,1.813318606,7.605406297,7.165870752,4.194191948,0.50373386,2.027223407,12.058548,23.93833122,5.948307401,1
death,12 - DEC,202152,all_ages,all_types,326,33713692,1180,62473455,2628,34554366.95,0.966966181,1.888802212,7.605406297,7.865224707,4.02657634,0.445151836,1.834460551,12.058548,27.08861794,6.573348219,1
